Year,Month,MaxT,AverageT,MinT
2010,january,26.0,21.0,24.35
2010,february,30.0,d9.0,24.04
2010,march,37.0,27.0,32.23
2010,may,39.0,35.0,36.81
2010,june,38.0,32.0,34.5
2010,july,35.0,26.0,29.26
2010,august,32.0,26.0,29.29
2010,september,33.0,25.0,29.17
2010,october,35.0,30.0,32.32
2010,november,31.0,22.0,27.47
2010,december,25.0,21.0,23.19
2011,january,25.0,20.0,22.81
2011,february,30.0,23.0,26.39
2011,march,36.0,29.0,31.42
2011,may,36.0,33.0,34.65
2011,june,39.0,30.0,33.27
2011,july,32.0,27.0,29.45
2011,august,30.0,26.0,28.68
2011,september,30.0,26.0,28.2
2011,october,34.0,29.0,31.74
2011,november,33.0,28.0,30.63
2011,december,31.0,22.0,25.48
2012,january,25.0,21.0,22.39
2012,february,29.0,18.0,24.83
2012,march,35.0,26.0,30.55
2012,may,36.0,34.0,34.77
2012,june,36.0,31.0,33.03
2012,july,33.0,28.0,30.42
2012,august,30.0,26.0,28.58
2012,september,33.0,27.0,29.0
2012,october,34.0,31.0,32.45
2012,november,30.0,26.0,28.9
2012,december,30.0,22.0,26.0
2013,january,27.0,20.0,23.32
2013,february,31.0,21.0,26.36
2013,march,34.0,28.0,31.1
2013,may,38.0,34.0,35.58
2013,june,36.0,30.0,32.7
2013,july,32.0,25.0,29.55
2013,august,30.0,26.0,28.23
2013,september,33.0,26.0,30.07
2013,october,33.0,28.0,30.74
2013,november,31.0,26.0,28.4
2013,december,28.0,19.0,24.48
2014,january,26.0,19.0,22.58
2014,february,28.0,22.0,25.39
2014,march,34.0,25.0,30.48
2014,may,38.0,33.0,36.0
2014,june,38.0,31.0,34.53
2014,july,34.0,27.0,30.97
2014,august,31.0,27.0,29.39
2014,september,32.0,25.0,29.03
2014,october,35.0,30.0,32.9
2014,november,32.0,28.0,30.5
2014,december,29.0,22.0,24.68
2015,january,25.0,20.0,23.1
2015,february,33.0,24.0,27.11
2015,march,37.0,23.0,30.94
2015,may,39.0,35.0,36.48
2015,june,37.0,28.0,33.77
2015,july,32.0,26.0,29.71
2015,august,31.0,27.0,28.84
2015,september,34.0,28.0,30.1
2015,october,35.0,28.0,33.39
2015,november,32.0,25.0,30.17
2015,december,29.0,21.0,25.39
2016,january,27.0,22.0,24.52
2016,february,33.0,24.0,27.38
2016,march,35.0,28.0,31.81
2016,may,40.0,29.0,35.71
2016,june,38.0,31.0,34.23
2016,july,33.0,28.0,29.68
2016,august,30.0,26.0,28.29
2016,september,32.0,27.0,29.47
2016,october,32.0,29.0,30.26
2016,november,30.0,27.0,28.93
2016,december,28.0,23.0,26.45
2017,january,28.0,20.0,23.87
2017,february,32.0,22.0,27.5
2017,march,35.0,26.0,30.71
2017,may,38.0,35.0,36.48
2017,june,37.0,28.0,34.1
2017,july,32.0,25.0,29.0
2017,august,31.0,26.0,29.03
2017,september,33.0,28.0,30.53
2017,october,35.0,29.0,33.16
2017,november,32.0,26.0,29.2
2017,december,29.0,22.0,25.65
2018,january,29.0,22.0,25.55
2018,february,33.0,25.0,28.43
2018,march,36.0,28.0,32.03
2018,may,39.0,35.0,37.03
2018,june,37.0,32.0,34.67
2018,july,33.0,26.0,29.77
2018,august,31.0,26.0,28.26
2018,september,34.0,27.0,29.8
2018,october,36.0,32.0,33.87
2018,november,33.0,28.0,30.93
2018,december,28.0,22.0,24.77
2019,january,29.0,20.0,23.84
2019,february,29.0,21.0,25.21
2019,march,35.0,26.0,29.71
2019,may,37.0,33.0,35.0
2019,june,38.0,31.0,34.07
2019,july,33.0,27.0,30.42
2019,august,30.0,24.0,28.23
2019,september,31.0,26.0,28.33
2019,october,32.0,27.0,30.0
2019,november,32.0,26.0,29.2
2019,december,29.0,21.0,24.87
