Year,Month,MaxT,AverageT,MinT
2010,january,19.0,13.0,16.19
2010,february,22.0,d0.0,13.89
2010,march,25.0,19.0,21.71
2010,may,29.0,25.0,27.06
2010,june,30.0,27.0,28.27
2010,july,28.0,25.0,25.94
2010,august,26.0,24.0,25.03
2010,september,27.0,22.0,23.97
2010,october,27.0,22.0,24.26
2010,november,26.0,17.0,21.67
2010,december,19.0,13.0,15.65
2011,january,18.0,12.0,14.52
2011,february,20.0,16.0,17.18
2011,march,23.0,18.0,20.74
2011,may,28.0,23.0,26.03
2011,june,30.0,27.0,28.67
2011,july,28.0,25.0,26.39
2011,august,27.0,25.0,25.74
2011,september,26.0,23.0,24.37
2011,october,29.0,23.0,25.45
2011,november,27.0,21.0,24.43
2011,december,25.0,15.0,18.87
2012,january,18.0,14.0,15.39
2012,february,20.0,11.0,17.0
2012,march,26.0,16.0,21.1
2012,may,26.0,25.0,25.94
2012,june,30.0,27.0,28.13
2012,july,28.0,26.0,27.35
2012,august,26.0,24.0,25.35
2012,september,27.0,23.0,24.93
2012,october,28.0,23.0,25.39
2012,november,23.0,20.0,21.83
2012,december,23.0,15.0,19.48
2013,january,19.0,12.0,16.1
2013,february,24.0,15.0,19.14
2013,march,26.0,19.0,22.81
2013,may,29.0,26.0,27.1
2013,june,30.0,27.0,28.17
2013,july,29.0,25.0,26.61
2013,august,26.0,24.0,25.06
2013,september,28.0,24.0,25.57
2013,october,27.0,23.0,25.06
2013,november,25.0,19.0,21.9
2013,december,21.0,14.0,17.84
2014,january,19.0,12.0,15.61
2014,february,21.0,15.0,18.18
2014,march,24.0,18.0,22.1
2014,may,29.0,26.0,27.32
2014,june,30.0,27.0,28.6
2014,july,29.0,25.0,27.52
2014,august,27.0,24.0,25.71
2014,september,26.0,23.0,24.83
2014,october,28.0,24.0,26.1
2014,november,27.0,21.0,24.17
2014,december,23.0,15.0,18.03
2015,january,19.0,14.0,16.42
2015,february,25.0,17.0,19.71
2015,march,30.0,18.0,23.55
2015,may,30.0,27.0,28.1
2015,june,31.0,27.0,28.73
2015,july,28.0,25.0,27.23
2015,august,27.0,25.0,25.68
2015,september,28.0,23.0,25.27
2015,october,30.0,22.0,27.23
2015,november,27.0,20.0,24.1
2015,december,23.0,14.0,18.68
2016,january,21.0,15.0,17.81
2016,february,24.0,17.0,19.79
2016,march,27.0,21.0,24.26
2016,may,29.0,27.0,27.9
2016,june,30.0,27.0,28.2
2016,july,28.0,26.0,26.61
2016,august,28.0,25.0,25.55
2016,september,26.0,23.0,24.63
2016,october,26.0,22.0,24.13
2016,november,23.0,20.0,21.13
2016,december,21.0,16.0,18.81
2017,january,20.0,13.0,16.68
2017,february,24.0,14.0,19.11
2017,march,26.0,17.0,21.97
2017,may,30.0,25.0,27.29
2017,june,31.0,27.0,28.97
2017,july,28.0,25.0,26.32
2017,august,27.0,24.0,25.94
2017,september,28.0,24.0,25.6
2017,october,30.0,24.0,26.9
2017,november,25.0,21.0,22.9
2017,december,24.0,17.0,19.9
2018,january,24.0,16.0,19.1
2018,february,26.0,19.0,22.07
2018,march,28.0,23.0,24.58
2018,may,31.0,28.0,28.71
2018,june,30.0,28.0,29.07
2018,july,29.0,26.0,27.06
2018,august,27.0,24.0,25.55
2018,september,27.0,24.0,24.77
2018,october,30.0,25.0,27.39
2018,november,27.0,22.0,24.5
2018,december,22.0,15.0,18.65
2019,january,23.0,15.0,18.55
2019,february,23.0,16.0,19.86
2019,march,29.0,21.0,24.03
2019,may,30.0,27.0,28.45
2019,june,31.0,27.0,28.97
2019,july,28.0,24.0,27.29
2019,august,27.0,20.0,25.29
2019,september,28.0,21.0,25.43
2019,october,28.0,23.0,26.0
2019,november,28.0,21.0,25.07
2019,december,25.0,14.0,19.52
