Year,Month,Max,Average,Min,Total
2010,january,0.3mm ,0.01mm ,0.0mm ,0.3mm
2010,february,0.0mm ,0.0mm ,0.0mm ,0.0mm
2010,march,0.0mm ,0.0mm ,0.0mm ,0.0mm
2010,may,0.0mm ,0.0mm ,0.0mm ,0.0mm
2010,june,3.6mm ,0.57mm ,0.0mm ,17.1mm
2010,july,18.2mm ,4.58mm ,0.1mm ,142.1mm
2010,august,12.1mm ,3.34mm ,0.2mm ,103.6mm
2010,september,28.1mm ,2.21mm ,0.0mm ,66.4mm
2010,october,4.4mm ,0.4mm ,0.0mm ,12.5mm
2010,november,7.3mm ,0.88mm ,0.0mm ,26.4mm
2010,december,0.0mm ,0.0mm ,0.0mm ,0.0mm
2011,january,0.0mm ,0.0mm ,0.0mm ,0.0mm
2011,february,0.0mm ,0.0mm ,0.0mm ,0.0mm
2011,march,0.0mm ,0.0mm ,0.0mm ,0.0mm
2011,may,0.1mm ,0.01mm ,0.0mm ,0.2mm
2011,june,11.6mm ,1.01mm ,0.0mm ,30.2mm
2011,july,36.2mm ,6.44mm ,0.0mm ,199.7mm
2011,august,22.9mm ,4.28mm ,0.0mm ,132.6mm
2011,september,20.3mm ,4.13mm ,0.0mm ,123.9mm
2011,october,1.2mm ,0.08mm ,0.0mm ,2.6mm
2011,november,0.1mm ,0.0mm ,0.0mm ,0.1mm
2011,december,0.0mm ,0.0mm ,0.0mm ,0.0mm
2012,january,0.0mm ,0.0mm ,0.0mm ,0.0mm
2012,february,0.0mm ,0.0mm ,0.0mm ,0.0mm
2012,march,0.0mm ,0.0mm ,0.0mm ,0.0mm
2012,may,1.0mm ,0.05mm ,0.0mm ,1.7mm
2012,june,13.3mm ,1.42mm ,0.0mm ,42.7mm
2012,july,9.5mm ,1.56mm ,0.0mm ,48.5mm
2012,august,28.5mm ,2.87mm ,0.1mm ,88.9mm
2012,september,30.0mm ,4.71mm ,0.0mm ,141.4mm
2012,october,0.7mm ,0.03mm ,0.0mm ,0.9mm
2012,november,0.0mm ,0.0mm ,0.0mm ,0.0mm
2012,december,0.0mm ,0.0mm ,0.0mm ,0.0mm
2013,january,0.0mm ,0.0mm ,0.0mm ,0.0mm
2013,february,0.1mm ,0.0mm ,0.0mm ,0.1mm
2013,march,0.0mm ,0.0mm ,0.0mm ,0.0mm
2013,may,0.1mm ,0.0mm ,0.0mm ,0.1mm
2013,june,11.7mm ,2.89mm ,0.0mm ,86.7mm
2013,july,20.0mm ,5.0mm ,0.0mm ,154.9mm
2013,august,30.4mm ,2.64mm ,0.0mm ,81.9mm
2013,september,31.5mm ,3.25mm ,0.0mm ,97.6mm
