mm,yy,Longitude,Latitude,Temperature
01,2019,  68.50,   19.50,   29.7
01,2019,  68.50,   20.50,   29.5
01,2019,  68.50,   21.50,   28.4
01,2019,  68.50,   22.50,   27.5
01,2019,  68.50,   23.50,   26.7
01,2019,  68.50,   24.50,   25.9
01,2019,  68.50,   25.50,   25.1
01,2019,  69.50,   19.50,   30.2
01,2019,  69.50,   20.50,   29.8
01,2019,  69.50,   21.50,   28.6
01,2019,  69.50,   22.50,   27.3
01,2019,  69.50,   23.50,   26.3
01,2019,  69.50,   24.50,   25.4
01,2019,  69.50,   25.50,   24.5
01,2019,  70.50,   19.50,   29.8
01,2019,  70.50,   20.50,   29.6
01,2019,  70.50,   21.50,   28.4
01,2019,  70.50,   22.50,   27.0
01,2019,  70.50,   23.50,   26.0
01,2019,  70.50,   24.50,   25.0
01,2019,  70.50,   25.50,   23.8
01,2019,  71.50,   19.50,   29.3
01,2019,  71.50,   20.50,   29.1
01,2019,  71.50,   21.50,   28.2
01,2019,  71.50,   22.50,   27.4
01,2019,  71.50,   23.50,   26.6
01,2019,  71.50,   24.50,   25.7
01,2019,  71.50,   25.50,   24.8
01,2019,  72.50,   19.50,   28.9
01,2019,  72.50,   20.50,   28.6
01,2019,  72.50,   21.50,   27.9
01,2019,  72.50,   22.50,   27.1
01,2019,  72.50,   23.50,   26.2
01,2019,  72.50,   24.50,   24.9
01,2019,  72.50,   25.50,   23.9
01,2019,  73.50,   19.50,   28.5
01,2019,  73.50,   20.50,   27.5
01,2019,  73.50,   21.50,   26.3
01,2019,  73.50,   22.50,   25.1
01,2019,  73.50,   23.50,   24.5
01,2019,  73.50,   24.50,   23.7
01,2019,  73.50,   25.50,   23.0
01,2019,  74.50,   19.50,   28.2
01,2019,  74.50,   20.50,   27.3
01,2019,  74.50,   21.50,   26.2
01,2019,  74.50,   22.50,   25.0
01,2019,  74.50,   23.50,   24.6
01,2019,  74.50,   24.50,   24.0
01,2019,  74.50,   25.50,   23.4
02,2019,  68.50,   19.50,   31.0
02,2019,  68.50,   20.50,   30.4
02,2019,  68.50,   21.50,   29.8
02,2019,  68.50,   22.50,   29.9
02,2019,  68.50,   23.50,   29.5
02,2019,  68.50,   24.50,   28.9
02,2019,  68.50,   25.50,   29.1
02,2019,  69.50,   19.50,   30.9
02,2019,  69.50,   20.50,   30.9
02,2019,  69.50,   21.50,   31.1
02,2019,  69.50,   22.50,   31.5
02,2019,  69.50,   23.50,   31.9
02,2019,  69.50,   24.50,   30.6
02,2019,  69.50,   25.50,   30.3
02,2019,  70.50,   19.50,   31.7
02,2019,  70.50,   20.50,   31.1
02,2019,  70.50,   21.50,   31.4
02,2019,  70.50,   22.50,   31.1
02,2019,  70.50,   23.50,   31.5
02,2019,  70.50,   24.50,   31.5
02,2019,  70.50,   25.50,   31.5
02,2019,  71.50,   19.50,    nan
02,2019,  71.50,   20.50,    nan
02,2019,  71.50,   21.50,   32.5
02,2019,  71.50,   22.50,   31.4
02,2019,  71.50,   23.50,   30.4
02,2019,  71.50,   24.50,   32.0
02,2019,  71.50,   25.50,   30.9
02,2019,  72.50,   19.50,   12.3
02,2019,  72.50,   20.50,   11.1
02,2019,  72.50,   21.50,   11.6
02,2019,  72.50,   22.50,    nan
02,2019,  72.50,   23.50,    nan
02,2019,  72.50,   24.50,   33.8
02,2019,  72.50,   25.50,   32.6
02,2019,  73.50,   19.50,   17.3
02,2019,  73.50,   20.50,   12.9
02,2019,  73.50,   21.50,   10.4
02,2019,  73.50,   22.50,    8.5
02,2019,  73.50,   23.50,    7.1
02,2019,  73.50,   24.50,    5.2
02,2019,  73.50,   25.50,    6.2
02,2019,  74.50,   19.50,   22.4
02,2019,  74.50,   20.50,   21.4
02,2019,  74.50,   21.50,   18.4
02,2019,  74.50,   22.50,   12.9
02,2019,  74.50,   23.50,    9.9
02,2019,  74.50,   24.50,    7.5
02,2019,  74.50,   25.50,    6.3
03,2019,  68.50,   19.50,   33.5
03,2019,  68.50,   20.50,   33.1
03,2019,  68.50,   21.50,   31.7
03,2019,  68.50,   22.50,   30.2
03,2019,  68.50,   23.50,   28.8
03,2019,  68.50,   24.50,   27.5
03,2019,  68.50,   25.50,   25.9
03,2019,  69.50,   19.50,   33.3
03,2019,  69.50,   20.50,   32.2
03,2019,  69.50,   21.50,   30.8
03,2019,  69.50,   22.50,   29.4
03,2019,  69.50,   23.50,   27.9
03,2019,  69.50,   24.50,   27.0
03,2019,  69.50,   25.50,   26.0
03,2019,  70.50,   19.50,   33.7
03,2019,  70.50,   20.50,   32.5
03,2019,  70.50,   21.50,   31.1
03,2019,  70.50,   22.50,   29.7
03,2019,  70.50,   23.50,   28.2
03,2019,  70.50,   24.50,   27.3
03,2019,  70.50,   25.50,   26.6
03,2019,  71.50,   19.50,   33.0
03,2019,  71.50,   20.50,   31.8
03,2019,  71.50,   21.50,   30.3
03,2019,  71.50,   22.50,   29.0
03,2019,  71.50,   23.50,   27.7
03,2019,  71.50,   24.50,   27.2
03,2019,  71.50,   25.50,   26.6
03,2019,  72.50,   19.50,   32.8
03,2019,  72.50,   20.50,   31.6
03,2019,  72.50,   21.50,   30.1
03,2019,  72.50,   22.50,   28.9
03,2019,  72.50,   23.50,   28.0
03,2019,  72.50,   24.50,   27.7
03,2019,  72.50,   25.50,   27.3
03,2019,  73.50,   19.50,   33.1
03,2019,  73.50,   20.50,   32.0
03,2019,  73.50,   21.50,   30.6
03,2019,  73.50,   22.50,   29.4
03,2019,  73.50,   23.50,   28.6
03,2019,  73.50,   24.50,   28.5
03,2019,  73.50,   25.50,   28.1
03,2019,  74.50,   19.50,   34.2
03,2019,  74.50,   20.50,   33.3
03,2019,  74.50,   21.50,   32.0
03,2019,  74.50,   22.50,   30.9
03,2019,  74.50,   23.50,   29.9
03,2019,  74.50,   24.50,   29.5
03,2019,  74.50,   25.50,   28.9
04,2019,  68.50,   19.50,   38.3
04,2019,  68.50,   20.50,   39.4
04,2019,  68.50,   21.50,   38.8
04,2019,  68.50,   22.50,   38.3
04,2019,  68.50,   23.50,   37.8
04,2019,  68.50,   24.50,   37.1
04,2019,  68.50,   25.50,   36.4
04,2019,  69.50,   19.50,   38.2
04,2019,  69.50,   20.50,   38.6
04,2019,  69.50,   21.50,   39.6
04,2019,  69.50,   22.50,   39.2
04,2019,  69.50,   23.50,   38.9
