mm,yy,Longitude,Latitude,Temperature
01,2010,  68.50,   19.50,   13.1
01,2010,  68.50,   20.50,   12.7
01,2010,  68.50,   21.50,   11.7
01,2010,  68.50,   22.50,   10.1
01,2010,  68.50,   23.50,    9.7
01,2010,  68.50,   24.50,    9.4
01,2010,  68.50,   25.50,    8.9
01,2010,  69.50,   19.50,   12.9
01,2010,  69.50,   20.50,   12.9
01,2010,  69.50,   21.50,   12.0
01,2010,  69.50,   22.50,   10.8
01,2010,  69.50,   23.50,   10.4
01,2010,  69.50,   24.50,   10.4
01,2010,  69.50,   25.50,    9.9
01,2010,  70.50,   19.50,   13.8
01,2010,  70.50,   20.50,   13.6
01,2010,  70.50,   21.50,   12.5
01,2010,  70.50,   22.50,   11.2
01,2010,  70.50,   23.50,   10.3
01,2010,  70.50,   24.50,    9.9
01,2010,  70.50,   25.50,    9.5
01,2010,  71.50,   19.50,   13.7
01,2010,  71.50,   20.50,   13.0
01,2010,  71.50,   21.50,   11.8
01,2010,  71.50,   22.50,   10.3
01,2010,  71.50,   23.50,    9.5
01,2010,  71.50,   24.50,    9.0
01,2010,  71.50,   25.50,    8.6
01,2010,  72.50,   19.50,   12.6
01,2010,  72.50,   20.50,   11.6
01,2010,  72.50,   21.50,   10.3
01,2010,  72.50,   22.50,    8.8
01,2010,  72.50,   23.50,    8.1
01,2010,  72.50,   24.50,    7.9
01,2010,  72.50,   25.50,    7.7
01,2010,  73.50,   19.50,   12.1
01,2010,  73.50,   20.50,   11.6
01,2010,  73.50,   21.50,   10.5
01,2010,  73.50,   22.50,    9.0
01,2010,  73.50,   23.50,    8.3
01,2010,  73.50,   24.50,    7.9
01,2010,  73.50,   25.50,    7.4
01,2010,  74.50,   19.50,   12.3
01,2010,  74.50,   20.50,   11.9
01,2010,  74.50,   21.50,   11.2
01,2010,  74.50,   22.50,    9.8
01,2010,  74.50,   23.50,    8.9
01,2010,  74.50,   24.50,    8.4
01,2010,  74.50,   25.50,    7.4
02,2010,  68.50,   19.50,   17.9
02,2010,  68.50,   20.50,   17.6
02,2010,  68.50,   21.50,   16.7
02,2010,  68.50,   22.50,   16.4
02,2010,  68.50,   23.50,   15.4
02,2010,  68.50,   24.50,   15.1
02,2010,  68.50,   25.50,   14.4
02,2010,  69.50,   19.50,   16.8
02,2010,  69.50,   20.50,   16.4
02,2010,  69.50,   21.50,   17.0
02,2010,  69.50,   22.50,   18.1
02,2010,  69.50,   23.50,   17.5
02,2010,  69.50,   24.50,   18.0
02,2010,  69.50,   25.50,   17.7
02,2010,  70.50,   19.50,   20.3
02,2010,  70.50,   20.50,   18.5
02,2010,  70.50,   21.50,   17.7
02,2010,  70.50,   22.50,   16.5
02,2010,  70.50,   23.50,   15.3
02,2010,  70.50,   24.50,   17.2
02,2010,  70.50,   25.50,   16.6
02,2010,  71.50,   19.50,    nan
02,2010,  71.50,   20.50,    nan
02,2010,  71.50,   21.50,   21.6
02,2010,  71.50,   22.50,   20.2
02,2010,  71.50,   23.50,   17.2
02,2010,  71.50,   24.50,   20.0
02,2010,  71.50,   25.50,   17.2
02,2010,  72.50,   19.50,    0.7
02,2010,  72.50,   20.50,    0.3
02,2010,  72.50,   21.50,    0.5
02,2010,  72.50,   22.50,    nan
02,2010,  72.50,   23.50,    nan
02,2010,  72.50,   24.50,   22.3
02,2010,  72.50,   25.50,   21.2
02,2010,  73.50,   19.50,    7.7
02,2010,  73.50,   20.50,    5.2
02,2010,  73.50,   21.50,    3.3
02,2010,  73.50,   22.50,    1.9
02,2010,  73.50,   23.50,    1.8
02,2010,  73.50,   24.50,   -0.1
02,2010,  73.50,   25.50,    0.8
02,2010,  74.50,   19.50,   11.2
02,2010,  74.50,   20.50,   10.5
02,2010,  74.50,   21.50,    9.9
02,2010,  74.50,   22.50,    8.9
02,2010,  74.50,   23.50,    6.7
02,2010,  74.50,   24.50,    5.5
02,2010,  74.50,   25.50,    4.0
03,2010,  68.50,   19.50,   19.4
03,2010,  68.50,   20.50,   19.1
03,2010,  68.50,   21.50,   18.7
03,2010,  68.50,   22.50,   17.6
03,2010,  68.50,   23.50,   16.9
03,2010,  68.50,   24.50,   17.0
03,2010,  68.50,   25.50,   17.0
03,2010,  69.50,   19.50,   20.6
03,2010,  69.50,   20.50,   20.5
03,2010,  69.50,   21.50,   20.2
03,2010,  69.50,   22.50,   19.2
03,2010,  69.50,   23.50,   18.5
03,2010,  69.50,   24.50,   18.2
03,2010,  69.50,   25.50,   17.7
03,2010,  70.50,   19.50,   20.4
03,2010,  70.50,   20.50,   20.4
03,2010,  70.50,   21.50,   20.2
03,2010,  70.50,   22.50,   19.2
03,2010,  70.50,   23.50,   18.4
03,2010,  70.50,   24.50,   18.0
03,2010,  70.50,   25.50,   17.4
03,2010,  71.50,   19.50,   21.0
03,2010,  71.50,   20.50,   21.0
03,2010,  71.50,   21.50,   20.8
03,2010,  71.50,   22.50,   19.9
03,2010,  71.50,   23.50,   19.0
03,2010,  71.50,   24.50,   18.5
03,2010,  71.50,   25.50,   17.7
03,2010,  72.50,   19.50,   21.0
03,2010,  72.50,   20.50,   20.9
03,2010,  72.50,   21.50,   20.8
03,2010,  72.50,   22.50,   20.1
03,2010,  72.50,   23.50,   19.4
03,2010,  72.50,   24.50,   18.9
03,2010,  72.50,   25.50,   18.1
03,2010,  73.50,   19.50,   20.9
03,2010,  73.50,   20.50,   20.5
03,2010,  73.50,   21.50,   20.0
03,2010,  73.50,   22.50,   19.0
03,2010,  73.50,   23.50,   18.0
03,2010,  73.50,   24.50,   17.5
03,2010,  73.50,   25.50,   16.9
03,2010,  74.50,   19.50,   20.4
03,2010,  74.50,   20.50,   20.0
03,2010,  74.50,   21.50,   19.6
03,2010,  74.50,   22.50,   18.7
03,2010,  74.50,   23.50,   17.9
03,2010,  74.50,   24.50,   17.3
03,2010,  74.50,   25.50,   16.6
