mm,yy,Longitude,Latitude,Rain
01,2010,66.50,18.25,0.0
01,2010,66.50,18.50,0.0
01,2010,66.50,18.75,0.0
01,2010,66.50,19.00,0.0
01,2010,66.50,19.25,0.0
01,2010,66.50,19.50,0.0
01,2010,66.50,19.75,0.0
01,2010,66.50,20.00,0.0
01,2010,66.50,20.25,0.0
01,2010,66.50,20.50,0.0
01,2010,66.50,20.75,0.0
01,2010,66.50,21.00,0.0
01,2010,66.50,21.25,0.0
01,2010,66.50,21.50,0.0
01,2010,66.50,21.75,0.0
01,2010,66.50,22.00,0.0
01,2010,66.50,22.25,0.0
01,2010,66.50,22.50,0.0
01,2010,66.50,22.75,0.0
01,2010,66.50,23.00,0.0
01,2010,66.50,23.25,0.0
01,2010,66.50,23.50,0.0
01,2010,66.50,23.75,0.0
01,2010,66.50,24.00,0.0
01,2010,66.50,24.25,0.0
01,2010,66.50,24.50,0.0
01,2010,66.50,24.75,0.0
01,2010,66.50,25.00,0.0
01,2010,66.50,25.25,0.0
01,2010,66.50,25.50,0.0
01,2010,66.50,25.75,0.0
01,2010,66.50,26.00,0.0
01,2010,66.50,26.25,0.0
01,2010,66.50,26.50,0.0
01,2010,66.50,26.75,0.0
01,2010,66.50,27.00,0.0
01,2010,66.50,27.25,0.0
01,2010,66.50,27.50,0.0
01,2010,66.50,27.75,0.0
01,2010,66.50,28.00,0.0
01,2010,66.50,28.25,0.0
01,2010,66.50,28.50,15.4
01,2010,66.50,28.75,0.0
01,2010,66.50,29.00,0.0
01,2010,66.50,29.25,0.0
01,2010,66.50,29.50,43.8
01,2010,66.50,29.75,0.0
01,2010,66.75,18.25,0.0
01,2010,66.75,18.50,0.0
01,2010,66.75,18.75,0.0
01,2010,66.75,19.00,0.0
01,2010,66.75,19.25,0.0
01,2010,66.75,19.50,0.0
01,2010,66.75,19.75,0.0
01,2010,66.75,20.00,0.0
01,2010,66.75,20.25,0.0
01,2010,66.75,20.50,0.0
01,2010,66.75,20.75,0.0
01,2010,66.75,21.00,0.0
01,2010,66.75,21.25,0.0
01,2010,66.75,21.50,0.0
01,2010,66.75,21.75,0.0
01,2010,66.75,22.00,0.0
01,2010,66.75,22.25,0.0
01,2010,66.75,22.50,0.0
01,2010,66.75,22.75,0.0
01,2010,66.75,23.00,0.0
01,2010,66.75,23.25,0.0
01,2010,66.75,23.50,0.0
01,2010,66.75,23.75,0.0
01,2010,66.75,24.00,0.0
01,2010,66.75,24.25,0.0
01,2010,66.75,24.50,0.0
01,2010,66.75,24.75,0.0
01,2010,66.75,25.00,0.0
01,2010,66.75,25.25,0.0
01,2010,66.75,25.50,0.0
01,2010,66.75,25.75,0.0
01,2010,66.75,26.00,0.0
01,2010,66.75,26.25,0.0
01,2010,66.75,26.50,0.0
01,2010,66.75,26.75,0.0
01,2010,66.75,27.00,0.0
01,2010,66.75,27.25,0.0
01,2010,66.75,27.50,0.0
01,2010,66.75,27.75,0.0
01,2010,66.75,28.00,0.0
01,2010,66.75,28.25,0.0
01,2010,66.75,28.50,0.0
01,2010,66.75,28.75,0.0
01,2010,66.75,29.00,0.0
01,2010,66.75,29.25,0.0
01,2010,66.75,29.50,0.0
01,2010,66.75,29.75,0.0
01,2010,67.00,18.25,0.0
01,2010,67.00,18.50,0.0
01,2010,67.00,18.75,0.0
01,2010,67.00,19.00,0.0
01,2010,67.00,19.25,0.0
01,2010,67.00,19.50,0.0
01,2010,67.00,19.75,0.0
01,2010,67.00,20.00,0.0
01,2010,67.00,20.25,0.0
01,2010,67.00,20.50,0.0
01,2010,67.00,20.75,0.0
01,2010,67.00,21.00,0.0
01,2010,67.00,21.25,0.0
01,2010,67.00,21.50,0.0
01,2010,67.00,21.75,0.0
01,2010,67.00,22.00,0.0
01,2010,67.00,22.25,0.0
01,2010,67.00,22.50,0.0
